題號,題目,選項A,選項B,選項C,選項D,Answer
1,(113-1)我國推動上市櫃公司永續發展行動方案，深化企業永續治理文化中，於 2023 年起推動 IPO 公司 至少幾位不同性別董事?,1 位,2 位,3 位,4 位,1
2,(113-1) ESG 涵蓋內容不包含以下何者？,社會責任,環境保護,公司治理,政府保護,4
3,(113-1) 上市上櫃公司永續發展實務守則中，為健全永續發展之管理，推動永續政策需定期向哪一個單位 報告？,總經理會議,公司業務會議,股東會,董事會,4
4,(113-1) 我國氣候變遷因應法中，碳定價的規劃形式是下列哪一個選項？,僅推動徵收碳費,徵收碳費及推動碳交易,僅推動碳交易,選項,2
5,(113-1) 臺灣 2050 淨零排放路徑包含二大治理基礎，請問下列何者為二大治理內容？,能源轉型及社會共融,科技研發及氣候法制,科技研發及產業轉型,氣候法制及循環經濟,2
6,(113-1) 我國氣候變遷因應法中，明訂國家長期減量目標修改為哪一年溫室氣體淨零排放？,2030 年,2040 年,2050 年,2060 年,3
7,(113-1) 1972 年 6 月，聯合國首次針對環境問題舉辦人類環境會議(Conference on the Human  Environment)，也稱為地球高峰會(Earth Summit)，該次會議通過的宣言為以下何者？,里約環境與發展宣言(Rio Declaration on Environment and Development),日內瓦部長宣言(The Geneva Ministerial Declaration),斯德哥爾摩宣言(Stockholm Declaration),格拉斯哥聯合宣言(Glasgow Declaration),3
8,"(113-1) 聯合國政府間氣候變遷專門委員會(Intergovernmental Panel on Climate Change, IPCC)隸屬於哪 一個組織？",世界銀行(World Bank),聯合國(United Nation),國際再生能源總署(IRENA),國際能源總署(IEA),2
9,(113-1) 以下哪一個宣言除提供人類活動與氣候變遷間關聯性之科學基礎外，也成為日後國際減少碳排放 協商機制之研究基礎與依據？,日內瓦部長宣言(The Geneva Ministerial Declaration),斯德哥爾摩宣言(Stockholm Declaration),人類環境行動計畫(Action Plan for the Human Environment),里約環境與發展宣言 (Rio Declaration on Environment and Development),1
10,(113-1) 歐盟為規範確定一項經濟活動 (economic activity) 是否符合環境永續性(environmentally  sustainable)的標準，以確定投資在環境永續的程度，此標準為下列何者？,歐洲綠色政綱(European Green Deal),碳邊境調整機制(CBAM),企業永續報告指令(CSRD),歐盟永續分類標準(EU Taxonomy Regulaton),4
11,(113-1) 我國推動上市櫃公司永續發展行動方案，強化利害關係人溝通，2024 年起將依資本額規模分階段 推動，上市櫃公司應於股東會幾日前上傳議事手冊、幾日前上傳年報？,20 日，15 日,30 日，15 日,20 日，14 日,30 日，14 日,4
12,(113-1) 以下哪一個會議達成歷史性協議，發達國家將向較貧窮國家支付費用，補償氣候變化造成的經濟 損失？,第二十五屆聯合國氣候變遷締約國大會(COP 25),第二十六屆聯合國氣候變遷締約國大會(COP 26),第二十七屆聯合國氣候變遷締約國大會(COP 27),第二十八屆聯合國氣候變遷締約國大會(COP 28),3
13,(113-1) 請問哪一個協議首次將「逐步減少(phase down) 對煤炭和化石燃料補助」寫入官方檔案中？,格拉斯哥氣候協議(Glasgow Climate Pact),京都議定書(Kyoto Protocol),巴黎協定(Paris Agreement),利馬氣候行動呼籲(Lima Call for Climate Action),1
14,(113-1) 我國推動上市櫃公司永續發展行動方案，擴大永續資訊揭露範圍，將自 2025 年推動多少資本額 以下的上市櫃公司編製永續報告書？,10 億元,20 億元,50 億元,100 億元,2
15,(113-1) 根據永續發展行動方案，優先推動哪些公司設置永續委員會？,僅上市公司,僅上櫃公司,上市上櫃公司,僅興櫃公司,3
16,"(113-1) 聯合國政府間氣候變遷專門委員會(IPCC)第六次評估報告，第一工作小組(Working Group I, WGI)  於 2021 年 8 月 9 日，發布《氣候變遷 2021：物理科學基礎》(Climate Change 2021：The  Physical Science Basis) 報告，其主要探討以下哪個議題？",氣候變遷對世界的影響,減緩氣候變遷的進展和承諾進行最新的全球評估,強調氣候變遷、人類社會、生態系統之間的互動,全球暖化,4
17,(113-1) 上市上櫃公司永續發展實務守則中，關於維護社會公益的內容，不包含下列哪一項？,尊重消費者權益,統計溫室氣體排放量,強化供應鏈管理,保障員工合法權益,2
18,(113-1) 上市上櫃公司永續發展實務守則中，關於利害關係人之權益維護，不包含下列何者？,於網站設置利害關係人專區,瞭解利害關係人之合理期望及需求,協助利害關係人獲取最大獲利,妥適回應利害關係人關切之重要永續發展議題,3
